month,companies_laid_off
NULL,1
2020-03,104
2020-04,226
2020-05,93
2020-06,44
2020-07,21
2020-08,11
2020-09,10
2020-10,6
2020-11,8
2020-12,4
2021-01,10
2021-02,7
2021-03,1
2021-04,4
2021-06,1
2021-07,1
2021-08,3
2021-09,2
2021-10,2
2021-11,2
2021-12,2
2022-01,4
2022-02,10
2022-03,18
2022-04,27
2022-05,67
2022-06,171
2022-07,132
2022-08,129
2022-09,76
2022-10,88
2022-11,185
2022-12,110
2023-01,227
2023-02,147
2023-03,23
