company,funds_raised_millions,total_laid_off
Cybereason,750,100
Cybereason,750,200
CyCognito,153,30
Cyren,161,121
D2iQ,247,34
"Daily Harvest",120,60
Daloopa,23,40
"Dapper Labs",607,134
Dark,3,6
DataRails,103,30
DataRobot,1000,70
DataRobot,430,200
DataStax,190,15
DealShare,390,100
Deliv,80,669
Deliveroo,1700,350
Deliveroo,1500,367
"Deliveroo Australia",1700,120
"Delivery Hero",8300,100
"Delivery Hero",9900,156
"Delivery Hero",8300,300
Demandbase,143,27
Deputy,106,60
"Descartes Labs",58,12
DialSource,26,5
DigitalOcean,491,200
DISCO,133,75
"Divergent 3D",88,57
"Divvy Homes",180,40
divvyDOSE,0,62
Dock,280,190
Docly,16,8
DocuSign,536,671
DocuSign,536,680
Doma,679,250
Doma,679,310
Doma,679,515
Domestika,130,150
Domo,689,90
Dooly,102,12
DoorDash,2500,1250
Dover,22,23
DraftKings,719,140
Drift,107,59
Drip,0,20
Drop,56,24
Dropbox,1700,315
DSCO,4,12
Dukaan,17,23
Dutchie,603,50
"Dynamic Signal",114,35
Earnin,190,50
EasyPost,12,75
EasyPost,12,50
"Eat Just",465,40
Eatsy,1,20
Eaze,202,25
Ebanx,30,62
Ebanx,460,340
eBay,1200,500
Ecobee,149,47
"Eden / Managed By Q",40,40
Edgio,462,95
Edifecs,1,30
eGym,109,100
Electric,212,81
Electric,212,141
"Electronic Arts",2,200
"Element AI",257,62
"Element Analytics",22,10
Elementor,65,60
Elinvar,30,43
Embark,94,41
"Embark Trucks",317,230
Embroker,142,30
Emotive,78,30
Enjoei,14,31
Enjoy,310,400
Envoy,59,58
Equitybee,85,24
Equitybee,85,25
EquityZen,11,30
Ericsson,663,8500
Ermetic,97,30
Eruditus,1200,40
"Ethos Life",106,18
"Ethos Life",406,40
"Ethos Life",406,50
eToro,322,100
Eucalyptus,69,50
Eventbrite,557,80
Eventbrite,332,500
EverBridge,476,200
Everlane,176,30
Everlane,18,227
Evernote,290,129
EVgo,400,40
Exodus,60,59
Exotel,87,142
Expert360,26,7
Exterro,100,24
ezCater,319,400
FabHotels,48,80
Fabric,336,120
Facily,502,260
Faire,1700,84
FarEye,150,90
FarEye,150,250
"Fate Therapeutics",1200,315
Favo,31,170
"Fifth Season",35,100
"Finite State",49,16
"Finleap Connect",22,14
Fireblocks,1000,30
FiscalNote,50,30
Fittr,13,30
Fiverr,111,60
"Flatiron School",15,100
Flexport,2400,640
Flipboard,235,24
Flockjay,14,37
Flyhomes,310,200
Flyhomes,310,300
Flytedesk,4,4
"Flywheel Sports",120,784
Flywire,263,60
Food52,176,20
Food52,176,21
Foodpanda,749,80
Foodpanda,749,60
Foodsby,20,87
ForeScout,125,100
Forma.ai,58,15
Forto,593,60
Forward,100,10
FourKites,201,60
Foxtrot,166,26
Fraazo,63,150
Freetrade,133,45
Freshbooks,75,38
FreshDirect,280,40
Freshly,107,329
Freshworks,484,90
Frontdesk,3,35
FrontRow,17,130
FrontRow,17,145
Fundbox,453,14
Fundbox,553,150
"Funding Circle",746,85
"Funding Societies",42,65
Furlenco,228,180
G2,101,17
Gather,76,30
Gem,148,100
Gemini,423,100
Gemini,423,68
"Genome Medical",120,23
Getaround,403,100
Getir,1800,100
GetNinjas,16,11
Getta,49,30
GetYourGuide,656,90
GitLab,413,130
Gitpod,41,21
Glassdoor,204,300
Glints,82,198
Glitch,30,18
Glossier,266,80
Glossier,266,19
Glossier,186,150
Glovo,1200,250
GoBear,97,22
GoBolt,178,55
GoDaddy,800,530
GoHealth,75,800
Gojek,4800,430
Gokada,12,20
Gokada,12,54
Gong,583,80
Goodfood,16,70
GoodRx,910,140
Google,26,12000
GoPro,288,200
Gopuff,3400,100
Gopuff,3400,250
Gopuff,3400,450
Gopuff,3400,1500
Gorillas,1300,300
Gorillas,1300,540
GoSpotCheck,47,23
GoStudent,686,100
GoStudent,686,200
"GoTo Group",1300,1300
Grab,9900,360
Gramophone,17,75
GrayMeta,7,20
"Greenhouse Software",110,120
Greenlight,556,104
Grin,145,60
"Group Nine Media",190,50
Groupon,1400,500
Groupon,1400,500
Groupon,1400,2800
Grover,2300,40
"Guardant Health",550,130
GumGum,58,90
Gusto,746,126
Gympass,300,467
"Happy Money",191,158
Hash,58,58
HashiCorp,349,69
Havenly,58,5
Headspace,215,50
Healthcare.com,244,149
HealthifyMe,100,150
HealthMatch,20,18
Hedvig,67,12
HelloFresh,367,611
Help.com,6,16
Heroes,265,24
Hibob,45,70
HighRadius,475,25
Highsnobiety,9,51
Highspot,644,100
"Hippo Insurance",1300,70
Hireology,52,36
Hologram,82,80
Homebot,4,18
Homie,35,40
Homie,35,119
HOOQ,95,250
Hootsuite,300,50
Hootsuite,300,70
Hootsuite,300,400
Hopin,1000,138
Hopin,1000,242
HopSkipDrive,45,8
"Horizn Studios",30,15
Hotmart,127,227
Houzz,613,95
Houzz,613,155
HP,4200,100
Hubba,61,45
Hubilo,153,45
Hubilo,153,115
HubSpot,100,500
HuffPo,37,47
Humble,4,10
Humu,40,26
Hunty,6,30
Huobi,2,275
Huobi,2,300
Hydrow,269,30
Hyperscience,289,100
Ibotta,85,87
