industry,stage,total_layoffs
HR,"Private Equity",10
Product,Seed,6
Finance,Seed,5
Aerospace,Post-IPO,NULL
NULL,Post-IPO,NULL
Travel,Seed,NULL
HR,"Series G",NULL
Marketing,NULL,NULL
Legal,Seed,NULL
Media,Seed,NULL
Transportation,Seed,NULL
Infrastructure,"Series A",NULL
Hardware,"Series B",NULL
Energy,"Series B",NULL
Construction,Post-IPO,NULL
Construction,Acquired,NULL
Other,"Private Equity",NULL
Media,"Private Equity",NULL
Recruiting,Seed,NULL
Logistics,Seed,NULL
Energy,Unknown,NULL
Marketing,"Series F",NULL
Energy,Post-IPO,NULL
Fitness,Seed,NULL
Food,NULL,NULL
